,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
1127,estou extrem agradec por ter solucion meu problem eletr rapid,nos falamos em breve,nao gost do tratament que receb do atendent,o sist de lubrificac da minh maquin nao esta funcion com po solucion esse probl,oi estou aqui para te apoiar
1128,extrem agradec ter solucion problem eletr rapid,falamos breve,nao gost tratament receb atendent,sist lubrificac minh maquin nao funcion poss solucion probl,oi aqui apoiar
1129,excelente suporte agradeço muito,no falamos em breve,fui maltratado pelo funcionario,sistem lubrificaça maquin nao funcion po solucion problem,oi estou aqu par te apoi
1130,excelente suporte agradeço,nos fal em brev,maltratado funcionario,sist lubrificac maquin nao funcion poss solucion probl,oi aqu apoi
1131,excelent suport agradec muit,no fal em brev,fui maltrat pel funcionari,sist lubrificac maquin nao funcion po solucion probl,oi aqu par apoi
1132,excelent suport agradec,fal brev,maltrat funcionari,sist lubrificac minh maquin nao funcion po solucion probl,oi estou aqu par te apo
1133,agradeço pela soluçao do meu problema,se cuida,maltrat pel funcionari,estou com dificuldades para entender o funcionamento de uma ferramenta pode me ajudar,oi aqu par apo
1134,agradeço soluçao problema,se cuid,fui maltrat pel funcionar,dificuldades entender funcionamento ferramenta pode ajudar,oi aqu apo
1135,agradec pel soluça do meu problem,boa sorte,maltrat pel funcionar,estou com dificuldad par entend o funcion de uma ferrament pod me ajud,oi o que voce deseja conversar
1136,agradec soluça problem,boa sort,maltrat funcionar,dificuldad entend funcion ferrament pod ajud,oi voce deseja conversar
1137,obrigado pelo suporte profissional e cordial,bom trabalho,fui maltrat pel funcion,dificuldad par entend funcion ferrament pod ajud,oi o que voc desej convers
1138,obrigado suporte profissional cordial,bom trabalh,maltrat pel funcion,minha linha de produçao esta produzindo muito lentamente o que devo fazer,oi voc desej convers
1139,obrig pel suport profissional e cordial,otimo,maltrat funcion,linha produçao produzindo lentamente devo fazer,oi em que posso te auxiliar hoje
1140,obrig suport profissional cordial,otim,fui mal atendido a pela empresa,minh linh de produça esta produz muit lent o que dev faz,oi em que poss te auxili hoj
1141,agradeço por terem ajudado a manter minha fabrica em operaçao,legal,mal atendido empresa,linh produça produz lent dev faz,oi em que po te auxili hoj
1142,agradeço terem ajudado manter fabrica operaçao,show,fui mal atend a pel empres,minh linh produça produz muit lent dev faz,oi em que poss te auxil hoj
1143,agradec por ter ajud a mant minh fabric em operaça,prazer em conversar,mal atend empres,minh linh de produc esta produz muit lent o que dev faz,oi em que po te auxil hoj
1144,agradec ter ajud mant fabric operaça,prazer conversar,mal atend pel empres,minh linh produc produz muit lent dev faz,oi estou preparado para te dar todo o suporte necessario
1145,agradeço pela rapidez na soluçao do problema,praz em convers,estou insatisfeito com a qualidade do serviço prestado,linh produc produz lent dev faz,oi preparado dar todo suporte necessario
1146,agradeço rapidez soluçao problema,praz convers,insatisfeito qualidade serviço prestado,preciso de ajuda para solucionar um problema em meu gerador eletrico,oi estou prepar par te dar tod o suport necessari
1147,agradec pel rapidez na soluça do problem,agradeço pela ajuda,estou insatisfeit com a qualidad do servic prest,preciso ajuda solucionar problema gerador eletrico,oi prepar dar tod suport necessari
1148,agradec rapidez soluça problem,agradeço ajuda,insatisfeit qualidad servic prest,precis de ajud par solucion um problem em meu gerador eletr,oi prepar par dar tod suport necessari
1149,estou muito grato pela ajuda,agradec pel ajud,nao concordo com a taxa cobrada,precis ajud solucion problem gerador eletr,oi estou prep par te dar tod o suport necessar
1150,grato ajuda,agradec ajud,nao concordo taxa cobrada,precis ajud par solucion problem gerador eletr,oi prep par dar tod suport necessar
1151,estou muit grat pel ajud,fico grato,nao concordo com a taxon cobrada,prec de ajud par solucion um probl em meu gerador eletr,oi prep dar tod suport necessar
1152,grat ajud,fic grat,nao concord com a tax cobr,prec ajud par solucion probl gerador eletr,oi estou prep par te dar tod o suport necess
1153,muito obrigado pelo auxilio na minha demanda,muito obrigado,nao concordo taxon cobrada,prec ajud solucion probl gerador eletr,oi prep par dar tod suport necess
1154,obrigado auxilio demanda,muit obrig,nao concord com a taxon cobr,a maquina esta consumindo muito mais energia do que o esperado o que pode ser,oi prep dar tod suport necess
1155,muit obrig pel auxili na minh demand,muito obrigada,nao concord tax cobr,maquina consumindo energia esperado pode,oi como posso te servir
1156,obrig auxili demand,obrigado pela assistencia,nao concord taxon cobr,a maquin esta consum muit mais energ do que o esper o que pod ser,oi posso servir
1157,fico grato por toda ajuda e suporte,obrigado assistencia,recebi um produto diferente do que foi anunciado,maquin consum energ esper pod,oi com poss te serv
1158,fico grato toda ajuda suporte,obrig pel assistenc,recebi produto diferente anunciado,maquin consum muit energ esper pod,oi poss serv
1159,fic grat por tod ajud e suport,obrig assistenc,receb um produt diferent do que foi anunc,o que pode estar causando um problema de vibraçao em meu motor eletrico,oi com po te serv
1160,fic grat tod ajud suport,de nada,receb produt diferent anunc,pode causando problema vibraçao motor eletrico,oi po serv
1161,grato pela atençao,nada,meu problema nao foi solucionado adequadamente,o que pod estar caus um problem de vibraça em meu motor eletr,oi estou aqui para te guiar no processo
1162,grato atençao,de nad,problema nao solucionado adequadamente,pod caus problem vibraça motor eletr,oi aqui guiar processo
1163,grat pel atença,nad,meu problem nao foi solucion adequ,o que pod estar caus um probl de vibrac em meu motor eletr,oi estou aqu par te gui no process
1164,grat atença,nao ha de que,problem nao solucion adequ,pod caus probl vibrac motor eletr,oi aqu gui process
1165,muito obrigado pela prontidao,nao ha,meu probl nao foi solucion adequ,estou com dificuldades para encontrar a causa raiz de um problema na minha maquina como posso melhorar essa analise,oi aqu par gui process
1166,obrigado prontidao,estou satisfeito,probl nao solucion adequ,dificuldades encontrar causa raiz problema maquina posso melhorar analise,oi qual e a sua expectativa
1167,muit obrig pel prontida,satisfeito,nao estou satisfeito com o desempenho do meu equipamento,estou com dificuldad par encontr a caus raiz de um problem na minh maquin com poss melhor essa analis,oi expectativa
1168,obrig prontida,estou satisfeit,nao satisfeito desempenho equipamento,dificuldad encontr caus raiz problem maquin poss melhor analis,oi qual e a sua expect
1169,agradecido pela atençao dada a minha solicitaçao,satisfeit,nao estou satisfeit com o desempenh do meu equip,dificuldad par encontr caus raiz problem minh maquin poss melhor analis,oi expect
1170,agradecido atençao dada solicitaçao,gostei do atendimento,nao satisfeit desempenh equip,estou com dificuldad par encontr a caus raiz de um problem na minh maquin com po melhor essa analis,oi estou pronto para te oferecer a melhor soluçao
1171,agradec pel atença dad a minh solicitaça,gostei atendimento,acredito que o problema em minha maquina poderia ter sido evitado com melhores recomendaçoes de uso,estou com dificuldad par encontr a caus raiz de um probl na minh maquin com poss melhor essa anal,oi pronto oferecer melhor soluçao
1172,agradec atença dad solicitaça,gost do atend,acredito problema maquina poderia ter sido evitado melhores recomendaçoes uso,dificuldad par encontr caus raiz problem minh maquin po melhor analis,oi estou pront par te oferec a melhor soluça
1173,voces sao incriveis muito obrigado pela ajuda,gost atend,acredit que o problem em minh maquin pod ter sid evit com melhor recomendaço de uso,estou com dificuldad par encontr a caus raiz de um probl na minh maquin com po melhor essa anal,oi pront oferec melhor soluça
1174,voces sao incriveis obrigado ajuda,voce foi muito util,acredit problem maquin pod ter sid evit melhor recomendaço uso,dificuldad par encontr caus raiz probl minh maquin poss melhor anal,oi pront par oferec melhor soluça
1175,vox sao incriveis muito obrigado pela ajuda,voce util,acredit problem minh maquin pod ter sid evit melhor recomendaço uso,dificuldad encontr caus raiz problem maquin po melhor analis,oi estou pront par te oferec a melhor soluc
1176,voc sao incriv muit obrig pel ajud,voc foi muit util,acredit que o probl em minh maquin pod ter sid evit com melhor recomendac de uso,dificuldad encontr caus raiz probl maquin poss melhor anal,oi pront par oferec melhor soluc
1177,vox sao incriveis obrigado ajuda,voc util,acredit probl minh maquin pod ter sid evit melhor recomendac uso,dificuldad encontr caus raiz probl maquin po melhor anal,oi pront oferec melhor soluc
1178,vox sao incriv muit obrig pel ajud,voc muit util,acredit probl maquin pod ter sid evit melhor recomendac uso,dificuldad par encontr caus raiz probl minh maquin po melhor anal,oi estou aqui
1179,voc sao incriv obrig ajud,excelente serviço,nao estou conseguindo contato com o suporte tecnico,a bomba de agua do meu equipamento esta com vazamentos o que devo verificar,oi aqui
1180,fiquei imensamente agradecido por ter ajudado a resolver meu problema mecanico,excelent servic,nao conseguindo contato suporte tecnico,bomba agua equipamento vazamentos devo verificar,oi estou aqu
1181,fiquei imensamente agradecido ter ajudado resolver problema mecanico,muito bom,nao estou consegu contat com o suport tecnic,a bomb de agu do meu equip esta com vazament o que dev verific,oi aqu
1182,fiqu imens agradec por ter ajud a resolv meu problem mecan,bom,nao consegu contat suport tecnic,bomb agu equip vazament dev verific,ei alguem pode me ajudar
1183,fiqu imens agradec ter ajud resolv problem mecan,muit bom,nao estou conseguindo solucionar um problema na minha maquina,a velocidade do meu motor esta irregular como solucionar esse problema,ei alguem pode ajudar
1184,parabens pelo trabalho e obrigado,muito obrigado pela atençao,nao conseguindo solucionar problema maquina,velocidade motor irregular solucionar problema,ei algu pod me ajud
1185,parabens trabalho obrigado,obrigado atençao,nao estou consegu solucion um problem na minh maquin,a veloc do meu motor esta irregul com solucion esse problem,ei algu pod ajud
1186,parabens pel trabalh e obrig,muit obrig pel atença,nao consegu solucion problem maquin,veloc motor irregul solucion problem,oi estou com algumas duvidas
1187,parabens trabalh obrig,obrig atença,nao consegu solucion problem minh maquin,a veloc do meu motor esta irregul com solucion esse probl,oi algumas duvidas
1188,estou muito agradecido por ter resolvido minha falha no motor,muit obrig pel atenc,nao estou consegu solucion um probl na minh maquin,veloc motor irregul solucion probl,oi estou com algum duv
1189,agradecido ter resolvido falha motor,obrig atenc,nao consegu solucion probl minh maquin,poderia me orientar sobre como resolver um problema de superaquecimento em meu equipamento de força,oi algum duv
1190,estou muit agradec por ter resolv minh falh no motor,estou indo,nao consegu solucion probl maquin,poderia orientar sobre resolver problema superaquecimento equipamento força,ola gostaria de fazer algumas perguntas
1191,agradec ter resolv falh motor,indo,estou frustrado com a demora no conserto da minha maquina,pod me orient sobr com resolv um problem de superaquec em meu equip de forc,ola gostaria fazer algumas perguntas
1192,agradecido pela cordialidade,encerrando o chat,frustrado demora conserto maquina,pod orient sobr resolv problem superaquec equip forc,ola gost de faz algum pergunt
1193,agradecido cordialidade,encerrando chat,estou frustr com a demor no consert da minh maquin,pod me orient sobr com resolv um probl de superaquec em meu equip de forc,ola gost faz algum pergunt
1194,agradec pel cordial,encerr o chat,frustr demor consert maquin,pod orient sobr resolv probl superaquec equip forc,oi sera que voce pode me auxiliar
1195,agradec cordial,encerr chat,frustr demor consert minh maquin,como posso resolver um problema de vazamento em meu equipamento de pintura,oi sera voce pode auxiliar
1196,obrigado por terem resolvido o problema de forma tao eficiente,atee logo pessoal,nao fiquei satisfeito com a forma como os reparos foram feitos,posso resolver problema vazamento equipamento pintura,oi serum que voce pode me auxiliar
1197,obrigado terem resolvido problema forma tao eficiente,ate log pessoal,nao fiquei satisfeito forma reparos feitos,com poss resolv um problem de vazament em meu equip de pintur,oi ser que voc pod me auxili
1198,obrig por ter resolv o problem de form tao eficient,fechando a janela,nao fiquei satisfeito com a forma como o reparos foram feitos,poss resolv problem vazament equip pintur,oi serum voce pode auxiliar
1199,obrig ter resolv problem form tao eficient,fechando janela,nao fiqu satisfeit com a form com os repar for feit,com po resolv um problem de vazament em meu equip de pintur,oi serum que voc pod me auxili
1200,excelente atendimento obrigado,fech a janel,nao fiqu satisfeit com a form com o repar for feit,com poss resolv um probl de vazament em meu equip de pintur,oi ser voc pod auxili
1201,excelent atend obrig,fech janel,nao fiqu satisfeit form repar feit,po resolv problem vazament equip pintur,oi serum voc pod auxili
1202,agradeço pela gentileza e presteza,fim da sessao,nao fiqu satisfeit com a form com os rep for feit,com po resolv um probl de vazament em meu equip de pintur,oi voc pod auxili
1203,agradeço gentileza presteza,fim sessao,nao fiqu satisfeit com a form com o rep for feit,poss resolv probl vazament equip pintur,oi ser que voc pod me auxil
1204,agradec pel gentil e prestez,fim da sessa,nao fiqu satisfeit form rep feit,po resolv probl vazament equip pintur,oi voc pod auxil
1205,agradec gentil prestez,fim sessa,fiquei insatisfeito com o atendimento ao cliente,meu equipamento de solda esta apresentando falhas como posso conserta lo,oi serum que voc pod me auxil
1206,obrigado por me ajudar a resolver o problema,fim da sess,fiquei insatisfeito atendimento cliente,equipamento solda apresentando falhas posso conserta lo,oi serum voc pod auxil
1207,obrig por me ajud a resolv o problem,fim sess,fiqu insatisfeit com o atend ao client,meu equip de sold esta apresent falh com poss consert lo,oi ser voc pod auxil
1208,obrigado pela rapidez na resoluçao do meu problema,saindo agora,fiqu insatisfeit atend client,equip sold apresent falh poss consert lo,e ai alguem pode me dar uma maozinha
1209,obrigado rapidez resoluçao problema,saind agor,nao estou satisfeito com a manutençao preventiva,meu equip de sold esta apresent falh com po consert lo,ai alguem pode dar maozinha
1210,obrig pel rapidez na resoluça do meu problem,terminando o chat,nao satisfeito manutençao preventiva,equip sold apresent falh po consert lo,e ai algu pod me dar uma maozinh
1211,obrig rapidez resoluça problem,terminando chat,nao estou satisfeit com a manutença prevent,estou tendo dificuldades para interpretar as informaçoes do painel de controle voce pode me auxiliar,ai algu pod dar maozinh
1212,obrigado pela presteza,termin o chat,nao satisfeit manutença prevent,tendo dificuldades interpretar informaçoes painel controle voce pode auxiliar,oi estou um pouco perdido alguem pode me orientar
1213,obrigado presteza,termin chat,nao estou satisfeit com a manutenc prevent,estou tendo dificuldades para interpretar a informaçoes do painel de controle voce pode me auxiliar,oi pouco perdido alguem pode orientar
1214,obrig pel prestez,fica na paz,nao satisfeit manutenc prevent,estou tend dificuldad par interpret as informaço do painel de control voc pod me auxili,oi estou um pouc perd algu pod me orient
1215,obrig prestez,fica paz,problemas tecnicos estao prejudicando meus prazos de entrega,estou tend dificuldad par interpret a informaço do painel de control voc pod me auxili,oi pouc perd algu pod orient
1216,muito obrigado por ter me dado a soluçao,fic na paz,problemas tecnicos estao prejudicando prazos entrega,tend dificuldad interpret informaço painel control voc pod auxili,oi preciso de uma informaçao
1217,obrigado ter dado soluçao,fic paz,problem tecnic esta prejudic meus praz de entreg,tend dificuldad par interpret informaço painel control voc pod auxili,oi preciso informaçao
1218,muit obrig por ter me dad a soluça,ciao,problem tecnic esta prejudic praz entreg,estou tend dificuldad par interpret as informac do painel de control voc pod me auxil,oi precis de uma informaça
1219,obrig ter dad soluça,cia,problem tecnic prejudic praz entreg,estou tend dificuldad par interpret a informac do painel de control voc pod me auxil,oi precis informaça
1220,agradeço pelo excelente atendimento e soluçao do meu problema,ate ja,probl tecnic esta prejudic meus praz de entreg,tend dificuldad par interpret informac painel control voc pod auxil,oi prec de uma informac
1221,agradeço excelente atendimento soluçao problema,valeu ai,probl tecnic prejudic praz entreg,tend dificuldad interpret informac painel control voc pod auxil,oi prec informac
1222,agradec pel excelent atend e soluça do meu problem,val ai,probl tecnic esta prejudic praz entreg,como posso evitar problemas comuns em maquinas,oi estou com um problema e nao sei como resolver
1223,agradec excelent atend soluça problem,obrigadao,acho que a manutençao preventiva nao esta sendo realizada adequadamente,posso evitar problemas comuns maquinas,oi problema nao sei resolver
1224,obrigado por me orientar nessa situaçao,obrigado por tudo,acho manutençao preventiva nao sendo realizada adequadamente,com poss evit problem comuns em maquin,oi estou com um problem e nao sei com resolv
1225,obrigado orientar nessa situaçao,obrigado tudo,acho que a manutença prevent nao esta send realiz adequ,poss evit problem comuns maquin,oi problem nao sei resolv
1226,obrig por me orient ness situaça,obrig por tud,acho manutença prevent nao send realiz adequ,com po evit problem comuns em maquin,oi estou com um probl e nao sei com resolv
1227,obrig orient ness situaça,obrig tud,acho que a manutenc prevent nao esta send realiz adequ,com poss evit probl comuns em maquin,oi probl nao sei resolv
1228,sua ajuda foi essencial para restaurar a eficiencia da minha maquina,tenha um bom resto de dia,acho manutenc prevent nao send realiz adequ,po evit problem comuns maquin,oi gostaria de tirar uma duvida
1229,ajuda essencial restaurar eficiencia maquina,tenha bom resto dia,estou muito insatisfeito com a falta de comunicaçao sobre o andamento do meu caso,com po evit probl comuns em maquin,oi gostaria tirar duvida
1230,sua ajud foi essencial par restaur a eficienc da minh maquin,tenh um bom rest de dia,insatisfeito falta comunicaçao sobre andamento caso,poss evit probl comuns maquin,oi gost de tir uma duv
1231,ajud essencial restaur eficienc maquin,tenh bom rest dia,estou muit insatisfeit com a falt de comunicaça sobr o andament do meu cas,po evit probl comuns maquin,oi gost tir duv
1232,grato pela rapida resoluçao do meu problema eletrico,tenha uma otima semana,insatisfeit falt comunicaça sobr andament cas,nao estou conseguindo fazer a manutençao preventiva da minha maquina o que devo fazer,ei tem alguem disponivel para me ajudar
1233,grato rapida resoluçao problema eletrico,tenha otima semana,muit insatisfeit falt comunicaça sobr andament cas,nao conseguindo fazer manutençao preventiva maquina devo fazer,ei alguem disponivel ajudar
1234,grat pel rap resoluça do meu problem eletr,tenh uma otim seman,estou muit insatisfeit com a falt de comunicaça sobr o andament do meu ca,nao estou consegu faz a manutença prevent da minh maquin o que dev faz,ei tem algu disponivel par me ajud
1235,grat rap resoluça problem eletr,tenh otim seman,estou muit insatisfeit com a falt de comunicac sobr o andament do meu cas,nao consegu faz manutença prevent maquin dev faz,ei algu disponivel ajud
1236,obrigado pela ajuda com o meu maquinario,tenha um fim de semana incrivel,muit insatisfeit falt comunicaça sobr andament ca,nao consegu faz manutença prevent minh maquin dev faz,ei algu disponivel par ajud
1237,obrigado ajuda maquinario,tenha fim semana incrivel,estou muit insatisfeit com a falt de comunicac sobr o andament do meu ca,nao estou consegu faz a manutenc prevent da minh maquin o que dev faz,oi estou com dificuldades e gostaria de uma orientaçao
1238,obrig pel ajud com o meu maquinari,tenh um fim de seman incrivel,muit insatisfeit falt comunicac sobr andament cas,nao consegu faz manutenc prevent minh maquin dev faz,oi dificuldades gostaria orientaçao
1239,obrig ajud maquinari,tenh fim seman incrivel,insatisfeit falt comunicaça sobr andament ca,nao consegu faz manutenc prevent maquin dev faz,oi estou com dificuldad e gost de uma orientaça
1240,grato pela eficiencia na soluçao do meu problema,ate breve parceiro,insatisfeit falt comunicac sobr andament cas,estou sofrendo com queda de energia na minha fabrica existe algo que eu possa fazer para evitar isso,oi dificuldad gost orientaça
1241,grato eficiencia soluçao problema,ate brev parceir,insatisfeit falt comunicac sobr andament ca,sofrendo queda energia fabrica existe algo possa fazer evitar,oi estou com dificuldad e gost de uma orientac
1242,grat pel eficienc na soluça do meu problem,ate brev parc,minha empresa precisa de soluçoes mais eficientes para economizar energia,estou sofr com qued de energ na minh fabric exist algo que eu poss faz par evit isso,oi dificuldad gost orientac
1243,grat eficienc soluça problem,tenha um dia abençoado,empresa precisa soluçoes eficientes economizar energia,sofr qued energ fabric exist algo poss faz evit,ola preciso de uma soluçao para o meu caso
1244,agradecimentos pela otima assistencia prestada,tenha dia abençoado,minh empres precis de soluço mais eficient par economiz energ,sofr qued energ minh fabric exist algo poss faz par evit,ola preciso soluçao caso
1245,agradecimentos otima assistencia prestada,tenh um dia abenço,empres precis soluço eficient economiz energ,estou sofr com qued de energ na minh fabric exist algo que eu po faz par evit isso,ola precis de uma soluça par o meu cas
1246,agradec pel otim assistenc prest,tenh dia abenço,minh empres precis soluço eficient par economiz energ,sofr qued energ minh fabric exist algo po faz par evit,ola precis soluça cas
1247,agradec otim assistenc prest,tenh um dia abenc,minh empres prec de soluc mais eficient par economiz energ,sofr qued energ fabric exist algo po faz evit,ola precis soluça par cas
1248,agradeço pela sua paciencia em me ajudar a resolver o problema,tenh dia abenc,minh empres prec soluc eficient par economiz energ,um dos meus equipamentos parou de funcionar o que devo fazer,ola precis de uma soluça par o meu ca
1249,agradeço paciencia ajudar resolver problema,muito obrigado pela sua ajuda,empres prec soluc eficient economiz energ,equipamentos parou funcionar devo fazer,ola prec de uma soluc par o meu cas
1250,agradec pel sua pacienc em me ajud a resolv o problem,muit obrig pel sua ajud,acho que os prazos de entrega nao sao respeitados,um do meus equipamentos parou de funcionar o que devo fazer,ola precis soluça par ca
1251,agradec pacienc ajud resolv problem,voce foi incrivel,acho prazos entrega nao sao respeitados,um dos meus equip par de funcion o que dev faz,ola prec de uma soluc par o meu ca
1252,muito obrigado pela sua assistencia,voce incrivel,acho que o prazos de entrega nao sao respeitados,um do meus equip par de funcion o que dev faz,ola prec soluc par cas
1253,muit obrig pel sua assistenc,voc foi incrivel,acho que os praz de entreg nao sao respeit,equip par funcion dev faz,ola precis soluça ca
1254,nao sei o que faria sem a ajuda de voces obrigado,voc incrivel,acho que o praz de entreg nao sao respeit,estou tendo dificuldades para identificar o tipo de lubrificante que deve ser usado em minha maquina pode me ajudar,ola prec soluc cas
1255,nao sei faria ajuda voces obrigado,muito grato,acho praz entreg nao sao respeit,tendo dificuldades identificar tipo lubrificante deve usado maquina pode ajudar,ola prec soluc ca
1256,nao sei o que faria sem a ajuda de vox obrigado,grato,nao acredito que paguei por um serviço tao ruim,estou tend dificuldad par identific o tip de lubrific que dev ser usad em minh maquin pod me ajud,ola prec soluc par ca
1257,nao sei o que far sem a ajud de voc obrig,muit grat,nao acredito paguei serviço tao ruim,tend dificuldad identific tip lubrific dev usad maquin pod ajud,oi estou enfrentando um desafio e preciso de assistencia
1258,nao sei faria ajuda vox obrigado,grat,nao acredit que pagu por um servic tao ruim,tend dificuldad par identific tip lubrific dev usad minh maquin pod ajud,oi enfrentando desafio preciso assistencia
1259,nao sei o que far sem a ajud de vox obrig,obrigado por tudo que fez,nao acredit pagu servic tao ruim,preciso realizar manutençao preventiva em meu equipamento voce pode me dar algumas orientaçoes,oi estou enfrent um desafi e precis de assistenc
1260,nao sei far ajud voc obrig,obrigado tudo fez,a soluçao apresentada nao pode ser a unica opçao,preciso realizar manutençao preventiva equipamento voce pode dar algumas orientaçoes,oi enfrent desafi precis assistenc
1261,obrigado por terem sido solicitos,obrig por tud que fez,soluçao apresentada nao pode unica opçao,precis realiz manutença prevent em meu equip voc pod me dar algum orientaço,oi estou enfrent um desaf e prec de assistenc
1262,obrigado terem sido solicitos,obrig tud fez,a soluça apresent nao pod ser a unic opça,precis realiz manutença prevent equip voc pod dar algum orientaço,oi enfrent desaf prec assistenc
1263,obrig por ter sid solicit,de coraçao obrigado,soluça apresent nao pod unic opça,prec realiz manutenc prevent em meu equip voc pod me dar algum orientac,oi alguem pode me dar um suporte
1264,obrig ter sid solicit,coraçao obrigado,a soluc apresent nao pod ser a unic opça,prec realiz manutenc prevent equip voc pod dar algum orientac,oi alguem pode dar suporte
1265,agradeço pela ajuda tecnica prestada,de coraça obrig,soluc apresent nao pod unic opça,a calibraçao da ferramenta da minha maquina esta desajustada o que fazer,oi algu pod me dar um suport
1266,agradeço ajuda tecnica prestada,coraça obrig,nao sinto que a equipe esteja realmente empenhada em me ajudar,calibraçao ferramenta maquina desajustada fazer,oi algu pod dar suport
1267,agradec pel ajud tecnic prest,de corac obrig,nao sinto equipe esteja realmente empenhada ajudar,a calibraça da ferrament da minh maquin esta desajust o que faz,oi preciso de alguem que possa me auxiliar neste assunto
1268,agradec ajud tecnic prest,corac obrig,nao sint que a equip estej realment empenh em me ajud,calibraça ferrament maquin desajust faz,oi preciso alguem possa auxiliar neste assunto
1269,obrigado pela resposta esclarecedora,nao sei o que faria sem voce,nao sint equip estej realment empenh ajud,calibraça ferrament minh maquin desajust faz,oi precis de algu que poss me auxili nest assunt
1270,obrigado resposta esclarecedora,nao sei faria voce,estou com problemas de vazamento em uma das minhas maquinas,a calibrac da ferrament da minh maquin esta desajust o que faz,oi precis algu poss auxili nest assunt
1271,obrig pel respost esclarecedor,nao sei o que far sem voc,problemas vazamento maquinas,calibrac ferrament minh maquin desajust faz,oi precis de algu que po me auxili nest assunt
1272,obrig respost esclarecedor,nao sei far voc,estou com problemas de vazamento em uma da minhas maquinas,calibrac ferrament maquin desajust faz,oi prec de algu que poss me auxil nest assunt
1273,obrigado por ter me ajudado a economizar tempo e dinheiro,foi um prazer conversar contigo,estou com problem de vazament em uma das minh maquin,qual e a melhor forma de lidar com problemas de lubrificaçao em maquinas,oi precis algu po auxili nest assunt
1274,obrigado ter ajudado economizar tempo dinheiro,prazer conversar contigo,estou com problem de vazament em uma da minh maquin,melhor forma lidar problemas lubrificaçao maquinas,oi prec de algu que po me auxil nest assunt
1275,obrig por ter me ajud a economiz temp e dinheir,foi um praz convers contig,problem vazament maquin,qual e a melhor form de lid com problem de lubrificaça em maquin,oi prec algu poss auxil nest assunt
1276,obrig ter ajud economiz temp dinheir,praz convers contig,problem vazament minh maquin,melhor form lid problem lubrificaça maquin,oi prec algu po auxil nest assunt
1277,fiquei muito feliz com o resultado agradeço a dedicaçao de voces,obrigado por sua gentileza,estou com probl de vazament em uma das minh maquin,qual e a melhor form de lid com probl de lubrificac em maquin,e ai alguem pode me dar uma força
1278,fiquei feliz resultado agradeço dedicaçao voces,obrigado gentileza,estou com probl de vazament em uma da minh maquin,melhor form lid probl lubrificac maquin,ai alguem pode dar força
1279,fiquei muito feliz com o resultado agradeço a dedicaçao de vox,obrig por sua gentil,probl vazament minh maquin,minhas maquinas estao apresentando baixo rendimento pode me ajudar a solucionar o problema,e ai algu pod me dar uma forc
1280,fiqu muit feliz com o result agradec a dedicaça de voc,obrig gentil,probl vazament maquin,maquinas estao apresentando baixo rendimento pode ajudar solucionar problema,ai algu pod dar forc
1281,fiquei feliz resultado agradeço dedicaçao vox,voce e demais,nao estou satisfeito com o desempenho da minha maquina,minh maquin esta apresent baix rendiment pod me ajud a solucion o problem,oi estou com um problema tecnico e preciso de ajuda
1282,fiqu muit feliz com o result agradec a dedicaça de vox,voce demais,nao satisfeito desempenho maquina,maquin esta apresent baix rendiment pod ajud solucion problem,oi problema tecnico preciso ajuda
1283,fiqu feliz result agradec dedicaça voc,voc e dem,nao estou satisfeit com o desempenh da minh maquin,minh maquin apresent baix rendiment pod ajud solucion problem,oi estou com um problem tecnic e precis de ajud
1284,agradeço pela orientaçao precisa e pontual,voc dem,nao satisfeit desempenh maquin,minh maquin esta apresent baix rendiment pod me ajud a solucion o probl,oi problem tecnic precis ajud
1285,agradeço orientaçao precisa pontual,muito obrigado pela atençao prestada,nao satisfeit desempenh minh maquin,minh maquin apresent baix rendiment pod ajud solucion probl,oi estou com um probl tecnic e prec de ajud
1286,agradec pel orientaça precis e pontual,obrigado atençao prestada,a qualidade dos produtos nao esta satisfatoria,maquin apresent baix rendiment pod ajud solucion problem,oi probl tecnic prec ajud
1287,agradec orientaça precis pontual,muit obrig pel atença prest,qualidade produtos nao satisfatoria,maquin esta apresent baix rendiment pod ajud solucion probl,oi preciso de orientaçoes sobre o procedimento correto
1288,ótimo atendimento obrigado,obrig atença prest,a qualidade do produtos nao esta satisfatoria,maquin apresent baix rendiment pod ajud solucion probl,oi preciso orientaçoes sobre procedimento correto
1289,ótim atend obrig,muit obrig pel atenc prest,a qualidad dos produt nao esta satisfator,estou com dificuldades para realizar a manutençao preditiva como posso melhorar isso,oi precis de orientaço sobr o proced corret
1290,obrigado pela orientaçao na soluçao do meu problema,obrig atenc prest,a qualidad do produt nao esta satisfator,dificuldades realizar manutençao preditiva posso melhorar,oi precis orientaço sobr proced corret
1291,obrigado orientaçao soluçao problema,obrigado por ser prestativo,qualidad produt nao satisfator,estou com dificuldad par realiz a manutença predit com poss melhor isso,oi prec de orientac sobr o proced corret
1292,obrig pel orientaça na soluça do meu problem,obrigado prestativo,acredito que a manutençao realizada nao resolveu o problema,dificuldad realiz manutença predit poss melhor,oi prec orientac sobr proced corret
1293,obrig orientaça soluça problem,obrig por ser prestat,acredito manutençao realizada nao resolveu problema,dificuldad par realiz manutença predit poss melhor,oi alguem pode me explicar como fazer isso
